Record,Type,Subpopulation,Indicator,Metric Category,Category,NResp,Estimate.P,StdError.P,LCB95Pct.P,UCB95Pct.P,Estimate.U,StdError.U,LCB95Pct.U,UCB95Pct.U
688,WSA3_Ecoregions,PLNLOW,Acidification,Chemical,Total,587,100,0,100,100,76817.64968,5394.864774,66243.90902,87391.39034
689,WSA3_Ecoregions,WMTNS,Acidification,Chemical,Good,260,98.14841039,0.970206824,96.24683995,100,10100.93015,1376.601768,7402.840263,12799.02004
690,WSA3_Ecoregions,WMTNS,Acidification,Chemical,Fair-Low_ANC_Dep,2,0.955319766,0.685050395,0,2.297993868,98.31660225,69.6078404,0,234.7454625
691,WSA3_Ecoregions,WMTNS,Acidification,Chemical,Natural_Organic_Acid,1,0.896269848,0.672713712,0,2.214764495,92.23948803,68.62909966,0,226.7500517
692,WSA3_Ecoregions,WMTNS,Acidification,Chemical,Total,263,100,0,100,100,10291.48624,1377.764648,7591.117151,12991.85533
693,WSA3_by_Lake_Origin,EHIGH_MAN_MADE,Acidification,Chemical,Good,120,98.86374869,0.720901483,97.45080774,100,12865.51863,1614.100274,9701.940224,16029.09703
694,WSA3_by_Lake_Origin,EHIGH_MAN_MADE,Acidification,Chemical,Fair-Low_ANC_Dep,2,1.136251314,0.720901483,0,2.549192256,147.8647395,91.7376828,0,327.6672938
695,WSA3_by_Lake_Origin,EHIGH_MAN_MADE,Acidification,Chemical,Total,122,100,0,100,100,13013.38337,1610.111655,9857.622513,16169.14422
696,WSA3_by_Lake_Origin,EHIGH_NATURAL,Acidification,Chemical,Good,62,93.44058601,4.179173062,85.24955733,100,10929.04215,3492.65376,4083.566571,17774.51773
697,WSA3_by_Lake_Origin,EHIGH_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,2,5.039049848,3.859551714,0,12.6036322,589.3797389,406.2305902,0,1385.577065
698,WSA3_by_Lake_Origin,EHIGH_NATURAL,Acidification,Chemical,Natural_Organic_Acid,2,1.520364139,1.030677342,0,3.540454609,177.8255517,108.8134538,0,391.0960021
699,WSA3_by_Lake_Origin,EHIGH_NATURAL,Acidification,Chemical,Total,66,100,0,100,100,11696.24744,3442.820169,4948.443905,18444.05098
700,WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,Acidification,Chemical,Good,301,99.37934081,0.365344555,98.66327864,100,35513.64549,3597.400721,28462.86964,42564.42134
701,WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,Acidification,Chemical,Fair-Low_ANC_Dep,1,0.407175179,0.332986918,0,1.059817545,145.505845,118.1239529,0,377.0245383
702,WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,Acidification,Chemical,Poor-Acid_Mine,2,0.213484012,0.141513083,0,0.490844558,76.28945252,49.41650551,0,173.1440236
703,WSA3_by_Lake_Origin,PLNLOW_MAN_MADE,Acidification,Chemical,Total,304,100,0,100,100,35735.44079,3591.689869,28695.858,42775.02357
704,WSA3_by_Lake_Origin,PLNLOW_NATURAL,Acidification,Chemical,Good,279,95.94664002,2.163868146,91.70553639,100,39416.99908,4007.854105,31561.74938,47272.24878
705,WSA3_by_Lake_Origin,PLNLOW_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,3,3.663362982,2.134507398,0,7.846920607,1504.990433,895.6063863,0,3260.346694
706,WSA3_by_Lake_Origin,PLNLOW_NATURAL,Acidification,Chemical,Natural_Organic_Acid,1,0.389996996,0.35097074,0,1.077887006,160.2193806,142.2025572,0,438.9312711
707,WSA3_by_Lake_Origin,PLNLOW_NATURAL,Acidification,Chemical,Total,283,100,0,100,100,41082.20889,4083.763211,33078.18008,49086.23771
708,WSA3_by_Lake_Origin,WMTNS_MAN_MADE,Acidification,Chemical,Good,150,100,0,100,100,3857.061685,490.7917384,2895.127554,4818.995817
709,WSA3_by_Lake_Origin,WMTNS_MAN_MADE,Acidification,Chemical,Total,150,100,0,100,100,3857.061685,490.7917384,2895.127554,4818.995817
710,WSA3_by_Lake_Origin,WMTNS_NATURAL,Acidification,Chemical,Good,110,97.03849056,1.631943147,93.83994077,100,6243.868464,1287.52519,3720.365461,8767.371466
711,WSA3_by_Lake_Origin,WMTNS_NATURAL,Acidification,Chemical,Fair-Low_ANC_Dep,2,1.527978165,1.085976859,0,3.656453697,98.31660225,67.53709013,0,230.6868665
712,WSA3_by_Lake_Origin,WMTNS_NATURAL,Acidification,Chemical,Natural_Organic_Acid,1,1.43353127,1.163190291,0,3.713342348,92.23948803,73.32308072,0,235.9500855
713,WSA3_by_Lake_Origin,WMTNS_NATURAL,Acidification,Chemical,Total,113,100,0,100,100,6434.424554,1288.482252,3909.045745,8959.803363
714,WSA9_Ecoregions,CPL,Acidification,Chemical,Good,120,92.63654079,3.515130479,85.74701165,99.52606993,23092.77479,2942.023226,17326.51523,28859.03436
715,WSA9_Ecoregions,CPL,Acidification,Chemical,Fair-Low_ANC_Dep,4,6.620956864,3.489192663,0,13.45964882,1650.496278,903.9425114,0,3422.191044
716,WSA9_Ecoregions,CPL,Acidification,Chemical,Poor-Acid_Mine,1,0.099783165,0.087659025,0,0.271591698,24.8743113,21.55608009,0,67.12345193
717,WSA9_Ecoregions,CPL,Acidification,Chemical,Natural_Organic_Acid,1,0.642719176,0.54230818,0,1.705623676,160.2193806,133.493795,0,421.862411
718,WSA9_Ecoregions,CPL,Acidification,Chemical,Total,126,100,0,100,100,24928.36476,3057.060624,18936.63604,30920.09348
719,WSA9_Ecoregions,NAP,Acidification,Chemical,Good,93,94.14692914,3.044748236,88.17933225,100,14718.94589,3636.291474,7591.945559,21845.94621
720,WSA9_Ecoregions,NAP,Acidification,Chemical,Fair-Low_ANC_Dep,4,4.715643648,2.854112603,0,10.30960156,737.2444784,411.0814824,0,1542.949379
721,WSA9_Ecoregions,NAP,Acidification,Chemical,Natural_Organic_Acid,2,1.137427214,0.742759077,0,2.593208254,177.8255517,108.9015976,0,391.2687608
722,WSA9_Ecoregions,NAP,Acidification,Chemical,Total,99,100,0,100,100,15634.01592,3608.66191,8561.168539,22706.86329
