Record,Type,Subpopulation,Indicator,Category,DiffEst.P,StdError.P,LCB95Pct.P,UCB95Pct.P,DiffEst.U,StdError.U,LCB95Pct.U,UCB95Pct.U,NResp_1,Estimate.P_1,StdError.P_1,LCB95Pct.P_1,UCB95Pct.P_1,Estimate.U_1,StdError.U_1,LCB95Pct.U_1,UCB95Pct.U_1,NResp_2,Estimate.P_2,StdError.P_2,LCB95Pct.P_2,UCB95Pct.P_2,Estimate.U_2,StdError.U_2,LCB95Pct.U_2,UCB95Pct.U_2,UB2-UB1,LB2-LB1
16,WSA3_Ecoregions,WMTNS,Total_Phosphorus,Good,3.396685338,8.808793882,-13.86823342,20.6616041,1866.55941,1233.64492,-551.3402029,4284.459022,171,67.29326639,7.169496869,53.24131074,81.34522204,3313.21692,550.5559277,2234.147131,4392.28671,124,70.68995173,6.158581742,58.61935332,82.76055014,5179.77633,1268.610203,2693.346022,7666.206638,1.4153281,5.37804258
17,WSA3_Ecoregions,WMTNS,Total_Phosphorus,Fair,-12.46754902,7.463153374,-27.09506084,2.159962804,-381.2612622,428.9999218,-1222.085658,459.5631338,24,22.14281715,7.084383795,8.257680061,36.02795424,1090.212445,411.4150395,283.8537843,1896.571105,45,9.675268132,2.43665124,4.899519458,14.45101681,708.9511823,125.9630091,462.0682211,955.8341434,-21.57693743,-3.358160603
18,WSA3_Ecoregions,WMTNS,Total_Phosphorus,Poor,9.070863682,5.40483749,-1.522423141,19.6641505,918.6106151,331.1551351,269.5584769,1567.662753,44,10.56391646,3.334341359,4.028727479,17.09910543,520.1195992,162.5867502,201.4554244,838.783774,73,19.63478014,4.945436852,9.94190202,29.32765825,1438.730214,315.942137,819.4950045,2057.965424,12.22855282,5.913174541
19,WSA9_Ecoregions,CPL,Total_Phosphorus,Good,10.24730216,7.966254434,-5.366269621,25.86087394,4921.163396,1350.653471,2273.931237,7568.395555,35,33.63582746,6.560207592,20.77805685,46.49359807,2357.619363,466.8017634,1442.704719,3272.534007,39,43.88312962,6.793321766,30.56846363,57.19779562,7278.782759,1391.160345,4552.158586,10005.40693,10.70419755,9.79040678
20,WSA9_Ecoregions,CPL,Total_Phosphorus,Fair,-6.80799351,7.677009858,-21.85465634,8.238669321,787.6968928,821.349417,-822.1183832,2397.512169,20,20.01485259,6.737528961,6.809538482,33.2201667,1402.891131,521.564019,380.6444377,2425.137823,16,13.20685908,3.968176738,5.429375589,20.98434257,2190.588023,650.6468493,915.3436322,3465.832415,-12.23582413,-1.380162893
21,WSA9_Ecoregions,CPL,Total_Phosphorus,Poor,-3.439308652,8.888812344,-20.86106071,13.98244341,3868.634222,1378.442372,1166.936819,6570.331625,47,46.34931995,7.70726319,31.24336168,61.45527822,3248.739883,649.3035733,1976.128264,4521.351502,61,42.9100113,6.986245826,29.21722109,56.6028015,7117.374105,1559.899084,4060.028081,10174.72013,-4.85247672,-2.02614059
22,WSA9_Ecoregions,NAP,Total_Phosphorus,Good,-27.25754752,10.4263883,-47.69289307,-6.822201975,811.9466691,925.2070719,-1001.42587,2625.319208,60,73.73150541,5.198976002,63.54169969,83.92131113,3853.188522,706.9449895,2467.601803,5238.775241,44,46.47395789,9.218068017,28.40687657,64.54103921,4665.135191,611.4580613,3466.699413,5863.570969,-19.38027192,-35.13482312
23,WSA9_Ecoregions,NAP,Total_Phosphorus,Fair,0.300923355,5.521016586,-10.52007031,11.12191702,659.5658178,363.7234677,-53.3190792,1372.450715,15,13.07840323,4.192929025,4.860413353,21.29639311,683.473814,214.7533275,262.5650265,1104.382602,23,13.37932659,3.870927861,5.792447392,20.96620578,1343.039632,315.8114768,724.0605114,1962.018752,-0.33018733,0.932034039
24,WSA9_Ecoregions,NAP,Total_Phosphorus,Poor,26.95662417,11.10315094,5.194848207,48.71840013,3340.685201,1760.63126,-110.0886584,6791.459061,18,13.19009136,2.87530219,7.554602621,18.8255801,689.3106053,121.6088399,450.9616589,927.6595517,23,40.14671553,11.0183192,18.55120673,61.74222432,4029.995807,1767.271396,566.2075191,7493.784094,42.91664422,10.99660411
25,WSA9_Ecoregions,NPL,Total_Phosphorus,Good,-0.72804826,6.683077763,-13.82663998,12.37054346,-108.3934021,164.6872634,-431.1745072,214.387703,20,14.27927393,6.057248685,2.407284665,26.1512632,379.824984,161.0025932,64.26569983,695.3842682,21,13.55122567,3.292243608,7.098546772,20.00390457,271.4315819,50.28992844,172.8651334,369.9980304,-6.14735863,4.691262107
26,WSA9_Ecoregions,NPL,Total_Phosphorus,Fair,5.484828601,3.45568238,-1.288184405,12.25784161,102.3532224,70.09435949,-35.02919769,239.7356425,3,1.142838787,0.786989041,0,2.685308964,30.3992154,19.54431209,0,68.7053632,5,6.627667388,3.364875772,0.032632063,13.22270271,132.7524378,67.3144791,0.818483148,264.6863925,10.53739375,0.032632063
27,WSA9_Ecoregions,NPL,Total_Phosphorus,Poor,-4.75678034,7.546149509,-19.5469616,10.03340092,-650.9299668,613.3309709,-1853.03658,551.1766467,42,84.57788728,6.17584851,72.47344663,96.68232793,2249.749871,550.8615172,1170.081137,3329.418605,45,79.82110694,4.708799114,70.59203027,89.05018361,1598.819904,302.3071327,1006.308812,2191.330996,-7.63214432,-1.88141636
28,WSA9_Ecoregions,SAP,Total_Phosphorus,Good,-19.84986476,13.34207529,-45.99985181,6.300122294,-1204.437766,802.6408222,-2777.58487,368.7093383,65,55.39451322,8.598685461,38.5413994,72.24762704,2625.798157,590.0829985,1469.256732,3782.339582,28,35.54464846,10.86592135,14.24783396,56.84146297,1421.360391,629.8633622,186.8508859,2655.869896,-15.40616407,-24.29356544
29,WSA9_Ecoregions,SAP,Total_Phosphorus,Fair,13.56014915,7.288496487,-0.725041463,27.84533977,484.2181478,297.6896248,-99.24279532,1067.679091,13,7.826742065,3.87149871,0.238744028,15.4147401,371.0014529,186.5855619,5.30047154,736.7024343,17,21.38689122,6.233382053,9.169686894,33.60409554,855.2196007,234.4840002,395.6394053,1314.799796,18.18935544,8.930942866
30,WSA9_Ecoregions,SAP,Total_Phosphorus,Poor,6.289715603,11.44504139,-16.14215332,28.72158452,-21.15492988,559.1614414,-1117.091217,1074.781357,39,36.77874471,8.443459652,20.22986789,53.32762154,1743.377719,498.4344417,766.464164,2720.291273,33,43.06846032,8.367944028,26.6675914,59.46932924,1722.222789,276.0407128,1181.192933,2263.252644,6.1417077,6.43772351
31,WSA9_Ecoregions,SPL,Total_Phosphorus,Good,-19.4474787,13.96280003,-46.81406388,7.919106491,290.5207104,749.8321478,-1179.123294,1760.164714,55,49.83323175,9.573798987,31.06893054,68.59753296,1568.712987,370.1996582,843.1349893,2294.290984,28,30.38575305,11.91417447,7.034400195,53.73710591,1859.233697,724.9705376,438.3175532,3280.14984,-14.86042705,-24.03453035
32,WSA9_Ecoregions,SPL,Total_Phosphorus,Fair,2.993922524,13.22829465,-22.93305857,28.92090362,589.7502009,729.6171819,-840.2731981,2019.7736,12,13.68497461,8.475991217,0,30.29761213,430.792799,297.4818602,0,1013.846531,11,16.67889713,10.17020808,0,36.61213868,1020.543,666.5736771,0,2327.0034,6.31452655,0
33,WSA9_Ecoregions,SPL,Total_Phosphorus,Poor,16.45355617,14.24642074,-11.46891538,44.37602773,2090.571512,1446.010958,-743.5578867,4924.70091,61,36.48179364,8.943639725,18.95258189,54.01100539,1148.419668,311.2567204,538.3677059,1758.47163,46,52.93534981,15.06311499,23.41218693,82.45851269,3238.99118,1559.95706,181.5315237,6296.450835,28.4475073,4.45960504
34,WSA9_Ecoregions,TPL,Total_Phosphorus,Good,-9.454286957,7.772401473,-24.68791392,5.779340003,414.2510171,589.4548907,-741.0593391,1569.561373,43,31.52833621,8.389678558,15.0848684,47.97180403,1933.149394,641.0691233,676.6770004,3189.621787,44,22.07404925,6.250825016,9.822657347,34.32544116,2347.400411,668.656556,1036.857643,3657.943179,-13.64636287,-5.262211053
35,WSA9_Ecoregions,TPL,Total_Phosphorus,Fair,19.07746986,12.12132177,-4.67988426,42.83482398,2402.389882,1647.502613,-826.655904,5631.435668,22,8.298320883,3.581205571,1.279286943,15.31735482,508.8087705,198.0045755,120.7269337,896.8906073,23,27.37579074,11.63771104,4.566296242,50.18528525,2911.198652,1637.961635,0,6121.544466,34.86793043,3.287009299
36,WSA9_Ecoregions,TPL,Total_Phosphorus,Poor,-9.623182904,9.223711815,-27.70132587,8.454960058,1686.100984,892.972818,-64.09357842,3436.295546,73,60.17334291,7.711343392,45.05938759,75.28729823,3689.508402,641.9928082,2431.22562,4947.791185,70,50.55016,9.496815764,31.93674314,69.16357687,5375.609386,830.6607693,3747.544195,7003.674577,-6.12372136,-13.12264445
37,WSA9_Ecoregions,UMW,Total_Phosphorus,Good,-11.27234802,7.962175037,-26.87792433,4.33322829,1392.168191,3080.476244,-4645.454302,7429.790683,103,73.30010796,4.959308431,63.58004204,83.02017387,11513.50518,1170.22025,9219.915635,13807.09472,63,62.02775994,7.083757667,48.14385003,75.91166984,12905.67337,3115.144854,6800.101649,19011.24509,-7.10850403,-15.43619201
38,WSA9_Ecoregions,UMW,Total_Phosphorus,Fair,7.300011932,4.711705563,-1.934761277,16.53478514,1984.803058,760.0211009,495.1890725,3474.417043,20,9.138018556,2.59397889,4.053913354,14.22212376,1435.340641,399.6157505,652.1081627,2218.57312,32,16.43803049,4.05027433,8.499638673,24.3764223,3420.143699,664.5593167,2117.631373,4722.656025,10.15429854,4.445725319
39,WSA9_Ecoregions,UMW,Total_Phosphorus,Poor,3.972336088,6.955252808,-9.659708919,17.60438109,1721.964218,1379.690688,-982.1798404,4426.108277,23,17.56187349,4.610253456,8.525942755,26.59780422,2758.505096,810.8456869,1169.276753,4347.73344,36,21.53420958,5.592709295,10.57270078,32.49571837,4480.469315,1174.329974,2178.82486,6782.11377,5.89791415,2.046758025
40,WSA9_Ecoregions,WMT,Total_Phosphorus,Good,7.283196228,9.82141642,-11.96642623,26.53281869,1232.911306,1214.208507,-1146.893638,3612.71625,121,71.17486107,8.254500445,54.99633749,87.35338466,2946.187225,515.0023436,1936.801179,3955.57327,83,78.4580573,5.787497407,67.11477082,89.80134378,4179.098531,1257.283397,1714.868354,6643.328708,2.44795912,12.11843333
41,WSA9_Ecoregions,WMT,Total_Phosphorus,Fair,-12.08545923,8.814651224,-29.36185816,5.190939705,-376.4176014,418.8219014,-1197.293444,444.4582413,17,22.5172673,8.156879195,6.530077847,38.50445674,932.0718613,401.2163322,145.7023001,1718.441423,30,10.43180807,3.332188051,3.900839496,16.96277664,555.6542599,119.8395075,320.7731413,790.5353785,-21.5416801,-2.629238351
42,WSA9_Ecoregions,WMT,Total_Phosphorus,Poor,4.802263002,4.578211079,-4.170865826,13.77539183,330.6797599,178.6989886,-19.56382183,680.9233415,16,6.307871631,3.455136276,0,13.07981429,261.1058249,145.4753325,0,546.2322372,37,11.11013463,3.378898667,4.487614939,17.73265433,591.7855848,117.0756006,362.321624,821.2495455,4.65284004,4.487614939
43,WSA9_Ecoregions,XER,Total_Phosphorus,Good,3.206876756,10.10567975,-16.5998916,23.01364511,633.6481035,194.6003872,252.2383533,1015.057854,50,46.80402442,8.17522858,30.78087084,62.827178,367.0296958,50.87724291,267.3121321,466.7472595,41,50.01090118,9.515521194,31.36082234,68.66098001,1000.677799,210.8788745,587.3628002,1413.992798,5.83380201,0.5799515
44,WSA9_Ecoregions,XER,Total_Phosphorus,Fair,-12.50493409,8.642194755,-29.44332456,4.433456377,-4.843660804,84.84362707,-171.1341142,161.4467926,7,20.16625849,8.542236649,3.423782307,36.90873467,158.1405832,77.99952637,5.264320712,311.0168457,15,7.661324396,2.696020017,2.377222261,12.94542653,153.2969224,45.86615989,63.4009009,243.1929439,-23.96330814,-1.046560046
45,WSA9_Ecoregions,XER,Total_Phosphorus,Poor,9.298057335,10.06659076,-10.432098,29.02821267,587.9308552,272.6724866,53.50260183,1122.359109,28,33.02971709,7.954451781,17.43927809,48.6201561,259.0137743,72.91977067,116.09365,401.9338986,36,42.32777443,9.954435053,22.81744024,61.83810862,846.9446295,295.4870942,267.8005669,1426.088692,13.21795252,5.37816215
46,National,National,Total_Nitrogen,Good,-2.573607659,3.80854435,-10.03821742,4.891002102,10554.95191,2870.400629,4929.070057,16180.83377,449,44.87251253,2.683225561,39.61348707,50.13153799,22232.38546,1663.410693,18972.16041,25492.61051,393,42.29890487,3.467006067,35.50369785,49.0941119,32787.33737,2938.629124,27027.73012,38546.94462,-1.03742609,-4.10978922
47,National,National,Total_Nitrogen,Fair,2.917428447,3.433324021,-3.811762982,9.646619876,6756.531761,2588.104847,1683.939472,11829.12405,192,16.07254194,2.140527935,11.87718428,20.2678996,7963.248047,1128.502679,5751.423439,10175.07265,188,18.98997039,2.848630385,13.40675743,24.57318335,14719.77981,2416.891587,9982.759343,19456.80027,4.30528375,1.52957315
48,National,National,Total_Nitrogen,Poor,-0.343820789,4.192391115,-8.560756384,7.873114807,10656.29237,4058.148796,2702.466883,18610.11785,387,39.05494553,2.668955582,33.82388871,44.28600235,19350.03311,1603.558521,16207.11616,22492.95006,369,38.71112474,3.779507583,31.303426,46.11882348,30006.32548,3973.863635,22217.69587,37794.95508,1.83282113,-2.52046271
49,Lake_Origin,MAN_MADE,Total_Nitrogen,Good,-4.344894166,5.030978137,-14.20543012,5.51564179,3194.892923,1509.51122,236.3052969,6153.480548,235,40.57339746,3.852289517,33.02304875,48.12374617,8246.530557,998.5390347,6289.430012,10203.6311,204,36.22850329,4.03152481,28.32685986,44.13014673,11441.42348,1328.884622,8836.85748,14045.98948,-3.99359944,-4.69618889
50,Lake_Origin,MAN_MADE,Total_Nitrogen,Fair,-0.149515896,4.213990701,-8.4087859,8.109754108,1883.802371,1149.102637,-368.3974129,4136.002154,125,17.15501812,3.060275089,11.15698916,23.15304707,3486.752157,654.076501,2204.785772,4768.718542,107,17.00550222,2.976742653,11.17119383,22.83981061,5370.554527,957.9786666,3492.950843,7248.158212,-0.31323646,0.01420467
51,Lake_Origin,MAN_MADE,Total_Nitrogen,Poor,4.494410062,5.508716834,-6.302476534,15.29129666,6177.611081,2293.429241,1682.572368,10672.64979,226,42.27158442,3.887463947,34.6522951,49.89087375,8591.686535,986.5697335,6658.045389,10525.32768,215,46.76599449,4.671403744,37.61021139,55.92177758,14769.29762,2295.468929,10270.26119,19268.33405,6.03090383,2.95791629
52,Lake_Origin,NATURAL,Total_Nitrogen,Good,-1.40372906,5.524898093,-12.23233034,9.424872219,7374.284801,2454.954787,2562.661834,12185.90777,213,47.87641971,3.695089834,40.63417671,55.1186627,13971.62909,1307.228464,11409.50838,16533.7498,189,46.47269065,5.223389467,36.23503541,56.71034588,21345.91389,2643.985629,16163.79728,26528.0305,1.59168318,-4.3991413
53,Lake_Origin,NATURAL,Total_Nitrogen,Fair,5.014861355,5.013347264,-4.811118724,14.84084143,4872.72939,2326.448681,312.9737624,9432.485018,67,15.33955666,2.920239891,9.615991644,21.06312167,4476.49589,920.803749,2671.753705,6281.238075,81,20.35441801,4.333164732,11.8615712,28.84726483,9349.22528,2220.60618,4996.917143,13701.53342,7.78414316,2.245579556
54,Lake_Origin,NATURAL,Total_Nitrogen,Poor,-3.611132295,6.072853102,-15.51370566,8.291441068,4502.458779,3376.255271,-2114.879955,11119.79751,159,36.78402364,3.575784414,29.77561497,43.7924323,10734.56908,1264.52588,8256.1439,13212.99427,154,33.17289134,5.563951121,22.26774753,44.07803515,15237.02786,3279.320077,8809.678617,21664.37711,0.28560285,-7.50786744
55,WSA3_Ecoregions,EHIGH,Total_Nitrogen,Good,-9.739662222,8.332429553,-26.07092405,6.591599605,764.0898632,919.485466,-1038.068534,2566.248261,114,51.71870492,5.786589724,40.37719747,63.06021237,5128.497198,806.5698565,3547.649329,6709.345068,89,41.9790427,6.43345964,29.36969351,54.58839189,5892.587062,537.9385767,4838.246825,6946.927298,-8.47182048,-11.00750396
56,WSA3_Ecoregions,EHIGH,Total_Nitrogen,Fair,1.257937603,6.326239225,-11.14126344,13.65713864,909.1699064,765.9305446,-592.0263756,2410.366188,30,17.77778384,4.522801904,8.913255003,26.64231269,1762.869252,472.848574,836.1030765,2689.635427,26,19.03572145,4.580482797,10.05814013,28.01330276,2672.039158,620.1370068,1456.592959,3887.485357,1.37099007,1.144885127
57,WSA3_Ecoregions,EHIGH,Total_Nitrogen,Poor,8.481724618,9.468018385,-10.07525042,27.03869966,2447.577484,1894.58939,-1265.749486,6160.904453,65,30.50351123,5.202662981,20.30647917,40.7005433,3024.769706,607.0881939,1834.898711,4214.640702,53,38.98523585,8.310519585,22.69691677,55.27355493,5472.34719,1831.59591,1882.485172,9062.209208,14.57301163,2.3904376
58,WSA3_Ecoregions,PLNLOW,Total_Nitrogen,Good,-3.744661496,4.54096456,-12.64478849,5.155465497,7269.112092,2468.889188,2430.178202,12108.04598,236,43.70512234,3.28959133,37.25764181,50.15260287,15168.29167,1403.058032,12418.34846,17918.23489,195,39.96046085,4.211532887,31.70600807,48.21491363,22437.40377,2580.405004,17379.90289,27494.90464,-1.93768924,-5.55163374
59,WSA3_Ecoregions,PLNLOW,Total_Nitrogen,Fair,4.233932904,4.430487329,-4.449662695,12.9175285,5561.961578,2463.175948,734.2254311,10389.69772,105,14.85167954,2.574524035,9.805705159,19.89765393,5154.421155,943.4010807,3305.389014,7003.453296,102,19.08561245,3.682475222,11.86809364,26.30313126,10716.38273,2304.395712,6199.85013,15232.91533,6.40547733,2.062388481
60,WSA3_Ecoregions,PLNLOW,Total_Nitrogen,Poor,-0.489271408,5.159857177,-10.60240564,9.623862825,8611.956355,3577.49654,1600.191981,15623.72073,239,41.44319811,3.344135987,34.88881202,47.99758421,14383.26867,1411.738724,11616.31161,17150.22572,243,40.9539267,4.649244318,31.84157529,50.06627812,22995.22502,3516.929502,16102.16986,29888.28018,2.06869391,-3.04723673
61,WSA3_Ecoregions,WMTNS,Total_Nitrogen,Good,21.51770085,9.661977432,2.580573061,40.45482863,2521.749956,1192.28014,184.9238228,4858.57609,99,39.31303624,7.101838349,25.39368885,53.23238363,1935.596589,401.1706353,1149.316592,2721.876586,109,60.83073709,7.724785033,45.69043664,75.97103754,4457.346545,1266.721981,1974.617084,6940.076006,22.73865391,20.29674779
62,WSA3_Ecoregions,WMTNS,Total_Nitrogen,Fair,-3.074539242,7.744058484,-18.25261496,12.10353648,285.4002764,450.4907999,-597.5454667,1168.34602,57,21.24397763,6.423305827,8.654529545,33.83342571,1045.95764,359.8591288,340.6467085,1751.268572,60,18.16943839,4.676871326,9.002939026,27.33593774,1331.357917,282.7131298,777.2503645,1885.465469,-6.49748797,0.348409481
63,WSA3_Ecoregions,WMTNS,Total_Nitrogen,Poor,-18.44316161,8.337661802,-34.78467845,-2.101644759,-403.2414703,530.0397996,-1442.100388,635.6174473,83,39.44298613,7.360459779,25.01675005,53.86922221,1941.994735,474.6360293,1011.725212,2872.264258,73,20.99982452,4.842110488,11.50946236,30.49018669,1538.753265,274.0039214,1001.715447,2075.791082,-23.37903552,-13.50728769
64,WSA9_Ecoregions,CPL,Total_Nitrogen,Good,7.621898607,7.590688853,-7.255578163,22.49937538,4064.403188,1271.419296,1572.467157,6556.339218,30,29.23706515,5.754818264,17.95782862,40.51630169,2049.299099,459.374682,1148.941267,2949.656931,28,36.85896376,6.329946177,24.45249723,49.26543029,6113.702287,1266.293491,3631.81265,8595.591924,8.7491286,6.49466861
65,WSA9_Ecoregions,CPL,Total_Nitrogen,Fair,-8.930025958,8.099920144,-24.80557772,6.945525803,341.7555242,905.7386832,-1433.459674,2116.970723,12,19.03374777,6.711569791,5.879312703,32.18818284,1334.123038,495.3857446,363.1848196,2305.061255,15,10.10372182,4.255479432,1.763135392,18.44430824,1675.878562,732.9549614,239.3132351,3112.443888,-13.7438746,-4.116177311
66,WSA9_Ecoregions,CPL,Total_Nitrogen,Poor,1.308127351,8.596864897,-15.54141823,18.15767293,5171.335799,1499.045014,2233.261561,8109.410038,60,51.72918707,7.503591671,37.02241765,66.4359565,3625.82824,638.0091528,2375.353279,4876.303201,73,53.03731443,6.726233459,39.8541391,66.22048976,8797.164039,1559.353399,5740.887539,11853.44054,-0.21546674,2.83172145
67,WSA9_Ecoregions,NAP,Total_Nitrogen,Good,-21.68365751,11.14124694,-43.52010026,0.152785238,1314.827787,843.5569918,-338.5135356,2968.16911,67,72.55459051,6.002393244,60.79011593,84.31906509,3791.683268,711.0939437,2397.964748,5185.401787,62,50.870933,9.837581904,31.58962677,70.15223922,5106.511055,510.3733182,4106.197733,6106.824377,-14.16682587,-29.20048916
68,WSA9_Ecoregions,NAP,Total_Nitrogen,Fair,5.688933017,8.179598742,-10.34278593,21.72065196,1317.043639,651.8479696,39.44509525,2594.642183,12,15.50183272,5.303577154,5.107012512,25.89665293,810.1215835,274.7349869,271.6509039,1348.592263,16,21.19076574,6.222212168,8.995453987,33.38607749,2127.165223,590.7953595,969.2275958,3285.102849,7.48942456,3.888441475
69,WSA9_Ecoregions,NAP,Total_Nitrogen,Poor,15.9947245,12.71097041,-8.918319711,40.9077687,2180.326262,1719.538947,-1189.908145,5550.560668,14,11.94357677,2.855274127,6.347342313,17.53981122,624.1680901,128.341567,372.623241,875.7129392,12,27.93830126,12.59970429,3.243334642,52.63326789,2804.494352,1723.812108,0,6183.103999,35.09345667,-3.104007671
